eng,tamil,pronunciation,synonym
a,ஏ,Ē,"group_A, adenine, angstrom_unit, angstrom, A, axerophthol, antiophthalmic_factor, vitamin_A, deoxyadenosine_monophosphate, amp, ampere, type_A, a"
abandon,கைவிட,Kaiviṭa,"unconstraint, forsake, desolate, vacate, empty, desert, abandon, give_up, wildness, wantonness"
ability,திறன்,Tiṟaṉ,"ability, power"
able,முடியும்,Muṭiyum,"capable, able, able-bodied"
abortion,கருக்கலைப்பு,Karukkalaippu,"abortion, miscarriage"
about,பற்றி,Paṟṟi,"close_to, more_or_less, or_so, well-nigh, just_about, virtually, nigh, approximately, around, near, about, astir, nearly, some, roughly, almost, most"
above,மேலே,Mēlē,"to_a_higher_place, supra, higher_up, in_a_higher_place, above"
abroad,வெளிநாடுகளில்,Veḷināṭukaḷil,"overseas, afield, abroad"
absence,இல்லாதது,Illātatu,"absence, absence_seizure"
absolute,அறுதி,Aṟuti,"inviolable, downright, out-and-out, absolute, right-down, rank, sheer, infrangible"
absolutely,முற்றிலும்,Muṟṟilum,"absolutely, perfectly, dead, utterly"
absorb,உறிஞ்சும்,Uṟiñcum,"suck, engage, immerse, soak_up, take_in, take_up, draw, engulf, assimilate, sop_up, ingest, imbibe, take_over, engross, plunge, occupy, suck_up, steep, absorb"
abuse,துஷ்பிரயோகம்,Tuṣpirayōkam,"blackguard, vilification, contumely, ill-use, step, maltreat, mistreat, misuse, maltreatment, shout, clapperclaw, abuse, insult, pervert, ill-treat, ill-usage, revilement, ill-treatment"
academic,கல்வி,Kalvi,"donnish, academician, academic, pedantic, faculty_member"
accept,ஏற்றுக்கொள்ளுங்கள்,Ēṟṟukkoḷḷuṅkaḷ,"take_over, admit, live_with, swallow, take, bear, assume, have, take_on, accept, go_for, consent"
access,அணுகல்,Aṇukal,"get_at, entree, admittance, memory_access, approach, admission, access_code, access, accession"
accident,விபத்து,Vipattu,"stroke, accident, chance_event, fortuity"
accompany,உடன்,Uṭaṉ,"attach_to, companion, play_along, follow, company, come_with, keep_company, accompany, go_with"
accomplish,நிறைவேற்றவும்,Niṟaivēṟṟavum,"fulfill, accomplish, achieve, fulfil, carry_through, action, execute, reach, attain, carry_out"
according,படி,Paṭi,"harmonize, according, concord, accord, allot, grant, agree, consort, fit_in, harmonise"
account,கணக்கு,Kaṇakku,"account, account_statement, story, report, write_up, accounting, answer_for, chronicle, explanation, invoice, score, calculate, describe, history, news_report, business_relationship, bill"
accurate,துல்லியமான,Tulliyamāṉa,"exact, precise, accurate"
accuse,குற்றம்,Kuṟṟam,"accuse, criminate, impeach, charge, incriminate"
achieve,அடைய,Aṭaiya,"accomplish, achieve, reach, attain"
achievement,சாதனை,Cātaṉai,"achievement, accomplishment"
acid,அமில,Amila,"pane, Zen, sulphurous, loony_toons, acid, vitriolic, acidulent, caustic, blistering, acrid, sulfurous, acidic, superman, acerb, bitter, Lucy_in_the_sky_with_diamonds, dose, Elvis, dot, battery-acid, window_pane, acerbic, virulent, back_breaker, acidulous"
acknowledge,ஒப்புக்கொள்,Oppukkoḷ,"recognize, admit, know, acknowledge, notice, receipt, recognise"
acquire,பெறவும்,Peṟavum,"acquire, take, get, grow, gain, assume, adopt, learn, take_on, larn, produce, develop, win, evolve"
across,முழுவதும்,Muḻuvatum,"crosswise, crossways, across"
act,நாடகம்,Nāṭakam,"act_as, represent, playact, deed, routine, move, number, dissemble, turn, do, bit, play, behave, work, roleplay, act, human_action, human_activity, pretend, enactment"
action,செயல்,Ceyal,"military_action, fulfill, natural_action, action_mechanism, accomplish, execute, process, activity, legal_action, sue, action_at_law, fulfil, natural_process, action, carry_through, activeness, litigate, carry_out"
active,செயலில்,Ceyalil,"combat-ready, fighting, active_voice, alive, active, active_agent, dynamic, participating"
activist,ஆர்வலர்,Ārvalar,"activist, militant, activistic"
activity,நடவடிக்கை,Naṭavaṭikkai,"body_process, natural_action, bodily_function, bodily_process, activity, natural_process, action, activeness"
actor,நடிகர்,Naṭikar,"doer, worker, player, thespian, actor, histrion, role_player"
actress,நடிகை,Naṭikai,actress
actual,உண்மையான,Uṇmaiyāṉa,"factual, actual, genuine, literal, real, existent"
actually,உண்மையில்,Uṇmaiyil,"really, actually, in_reality"
ad,விளம்பரம்,Viḷamparam,"advertizing, ad, advert, advertisement, anno_Domini, A.D., advertising, AD, advertizement"
adapt,ஏற்ப,Ēṟpa,"adapt, accommodate, conform, adjust"
